Game Name,Genres,Release Date,Description
10tons Adventure Puzzles Bundle,,[object Object],"Sparkle 2: Sparkle 2 is a superbly polished marble shooter action puzzle game with beautiful graphics, mighty powerups and an amazing soundtrack. Match the orbs before they fall into the abyss and find your way through mysterious lands of startling beauty!

Azkend 2: Step aboard a fantastic adventure! Enjoy amazing match-three gameplay and discover one of the most astonishing worlds ever imagined."
Rocky Climb,,,
Fatal Run,"5,10","[object Object],[object Object]",Drive up the road and gun down opposing vehicles in Fatal Run.
Memorick: The Apprentice Knight,,,
Crazy Kong,"8,9,33",[object Object],
Graviteam Tactics: Stalemate on Donets,"13,15",,"Izyum-Barvenkovo offensive operation of the Red Army was carried out from 17 to 27 July, 1943 by forces of South-Western Front in order to encircle and destroy the German group defending Donbass, as well to prevent the transfer of enemy troops to the Kursk region."
Video Hustler,,[object Object],"With an overhead view of the table, you play a billiards variant called ""Pocket Ball"" with just six object balls. Imprecise control over the aim and velocity of your shots. You'll discover the exicetiment of ball colliding. The silence and concentration of the billiard room, as well as the enthusiasm of the players will all be there for you."
The Crew 2: Digital Deluxe Edition,,,
Leo Spanish Spelling Complete,,,
Tower of Fortune,,[object Object],"Tower of Fortune is a retro-style slot machine/RPG. You play as a retired hero and lived with daughter peacefully. Until one day, an unknown power from the mystic tower took her away. This force the hero to draw the sword again and fight for his daughter."
Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,,,
Thronefall,"15,24,32","[object Object],[object Object]","A minimalist game about building and defending a little kingdom. Thronefall is a classic strategy game without unnecessary complexity, just some healthy hack-and-slay. Build up your base during the day, and defend it ‘til your last breath at night."
Pixel Race: Endless Retro Racing,"10,14",,"Pixel Race is an endless racing game which you earn badges, unlock and
upgrade cars while trying to win the Legendary badge.
4 CARS
Each new car is smaller and stronger than previous one!"
Paradise Up Above: Gold Label Edition,5,[object Object],"Paradise Up Above: Gold Label Edition comes with 18 total maps tak﻿ing place in beautiful tropical locales, majestic skybound islands, Heavenly hot-spots, and the sinister shadow of Hell that eternally follows Doomguy wherever he goes, even in his journey for a peaceful place to rest his weary hands."
Voyager,5,"[object Object],[object Object]",A first person spacecraft shooter using polygon graphics.
Insurgency: Sandstorm - Biker Gear Set,5,[object Object],This content requires the base game Insurgency: Sandstorm on Steam in order to play.Tread on your enemies with the Biker Gear Set for Insurgents. This set contains six different cosmetic gear pieces.
Video Hustler,14,[object Object],A pool game initially released by Konami in 1981 for the arcade.
Dungeon Nightmares 1+2 Collection,"31,33",[object Object],"The game is inspired by classic roguelike games which include 100% procedural-generated maps and permadeath. These features play an important part in making this game tense with the feeling of dread & terror as you walk the hallways of the dungeon. Every time you play, the dungeons are randomised which guarantees unlimited replay value. The game is simple. Get through each dungeon by surviving the horrors that lurk deep within and making your way to the exit. FEATURES - Dungeon Nightmares 1 Remastered - Dungeon Nightmares 2 : The Memory - Intense scary atmosphere - Combat-less gameplay - 100% procedural-generated maps - Permadeath - Rich 3D surround sound - Intelligent AI that changes based on the way you behave each night - Unlockable extras"
Magna Graecia,"15,32",,"Magna Graecia is a colorful building strategy and puzzle game in ancient Greek style in which you create a sprawling village with olives and grapes by placing buildings strategically, leveling them up, receiving adjacency bonuses, and expanding your territory, while enjoying the whole process."
Catch It,,,
Bingo,,,
Hidden Secrets: The Nightmare,,[object Object],
Word Nut: Word Games & Puzzles,,,
A Knight's Move,,,
Little Dungeon Stories,"12,15,31,32",[object Object],"Little Dungeon Stories is a challenging roguelike card-based RPG. Enter the dungeon full of secrets, hostile monsters, deadly traps, and legendary loots. How long can you survive?"
Rhom Bus,9,[object Object],"New, addictive and clever game mechanics in a beautiful and carefully designed world of rhombuses. Turn the tiles or turn the board to complete the levels and help the animals getting on the bus."
Spike the Hedgehog,,[object Object],
Fire Emblem: The Binding Blade,"12,15,24","[object Object],[object Object],[object Object],[object Object]","Fire Emblem: The Binding Blade is a Japanese tactical role-playing game developed by Intelligent Systems and published by Nintendo. The game was released on March 29, 2002 in Japan, is the sixth game in the Fire Emblem series, and the first of three games in the series that have appeared on Nintendo's Game Boy Advance handheld. It was the last Fire Emblem game to be released exclusively in Japan until the release of Fire Emblem: New Mystery of the Emblem. The Binding Blade was followed by a prequel, Fire Emblem: The Blazing Blade, set twenty years earlier."
Idle Champions: Dr. Buzz Watson the Bee Familiar Pack,"15,31,32","[object Object],[object Object]",In this pack: Dr. Buzz Watson the Bee Familiar 2 Epic Potions of Speed 2 Epic Potions of Giant's Strength 2 Epic Potions of Clairvoyance
Neon Arena,32,[object Object],Neon Arena is a space arcade scoring arena game.
Jump Ball Blast,,,
Slip Slop,,,
Premier Collection III,,,
Wildland Animal Hunting,,,
One Epic Game,,,
Disney's Peter Pan: Return to Neverland,8,"[object Object],[object Object]","Players take control of Peter Pan. He can fly with Pixie Dust if he has Tinker Bell, but if he runs out of Pixie Dust, Peter cannot fly. Enemies are in this game, but all can be defeated, except police officers. Enemies can be defeated by any attack, such as ground pounding, throwing his sword or fighting."
Caution! Platforming Ahead,,,
Morph Chess 3D,,,
UFO Hunter,,,
Heavy Bullets,"5,32","[object Object],[object Object],[object Object],[object Object]","Armed with a simple yet stylish revolver and six devastatingly plump bullets, you must reset the security mainframe to restore order and reap the rewards of a job well done. To succeed in the game, players will need to move carefully and make smart use of their bullets, items, and the environment as rushing into new areas is the fastest way to get killed in the untamed wild of the neon corridors."
Duck Bow Hunt,,,
Hidden Stroke: APRM,,[object Object],
Yummy Girl 2,32,[object Object],"Sweet buns, ruddy cupcakes, juicy burgers - all these yummy girls love to eat. They are just waiting for you to feed them! ( ˘▽˘)っ♨"
Plumb,"31,32",,A room-scale VR narrative puzzle game. Solve spatial puzzles under strict time constraints. Assemble and properly combine an assortment of 3d shapes into predefined spaces.
Nanoworld,"31,32",[object Object],Sandbox game. Defend the planets from enemy minions.
Slotter Mania Gaiden,,,Slotter Mania Gaiden is a pachislot game for the original PlayStation.
Paw Bois,8,,cute climbing
Tiger Tank 59 I: A-Gun MP034,32,,"Tiger Tank 59 is a top-down shooting game. In this game, players need to control their tanks, through the enemy lines, break the enemy base, or defeat the enemy tanks.
This DLC contains the Map No.186-190."
A.E.,,[object Object],A.E. is a Space Invaders inspired game with a 3D view. In A.E. the earth is under attack by swarms of aliens who drop bomb after bomb and it's your job to defend planet Earth. You control a laser cannon that moves horizontally at the bottom of the screen. To earn point you should shoot all the alien forces before they shoot you! The game becomes more challenging when you progress in the game as the alien swarm splits up and attack you from several sides. This version is a homebrew version released in 2012
Solar Struggle,5,[object Object],"Solar Struggle is an Ultimate Doom, limit-removing (Complevel 3) community project. Each map was given a name first and then participants were invited to make a level based of it.

The first 3 episodes are comparatively easy and short, and the 4th is ramping difficulty up quite a bit. The maps are balanced for pistol-start primarily."
Carriers at War,"13,15",[object Object],"Naval wargame. This is the second remake of the 1984 Carriers at War. It is based on World War II naval warfare and focuses on the Pacific Theater.

This remake contains 7 scenarios based on the historical battles. Every scenario has at least one non-historical course of action."
The Legend of Heroes: Trails into Reverie,"12,16","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","The Legend of Heroes: Trails into Reverie is the tenth installment in the main Trails series, serving as a direct sequel to the events of the The Legend of Heroes: Trails of Cold Steel IV and the epilogue to both the Crossbell and Erebonia arcs. The game follows the footsteps of the liberator Lloyd Bannings, the war hero Rean Schwarzer, the masked enigma ""C"" and switch between each of their paths freely with the Crossroads system, three different legends are about to unfold!"
Line Simulator 2020,,,
Crayon Poke,,,
Hospital Hustle,,,
iLudo,,,
DinoSaur Ice Survival Craft,,,
I Don't Want to Die,"9,32",,"The game is simple: You play as Mr Nife Frown who is grumpy but doesn't want to die. But than things randomly start falling from the sky and if they hit you, you die.

It is as simple as that

This was made for 2 hour challenge by the talented devs at Stux Games."
